Id,Property Name,Store ID,Address,City,State,State Code,Zip Code,DMA Name,DMA Code,CBSA Name,CBSA Code,lat,lng,Category Group,Category,Sub Category,Visits,Ranking
bc35042e675d5d9d16d06658,Academy Sports + Outdoors,129,801 S Mesa Hills Dr,El Paso,Texas,TX,79912,"El Paso, TX",765,"El Paso, TX Metro Area",21340,31.81766128540039,-106.5400925,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,265711,200
b60273161ebe5451691deb20,Academy Sports + Outdoors,85,2501 S Broadway,Edmond,Oklahoma,OK,73013,"Oklahoma City, OK",650,"Oklahoma City, OK Metro Area",36420,35.630306243896484,-97.48545837,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,265077,201
962402996eac7069df30e1ba,Academy Sports + Outdoors,258,269 S Stewart Rd,Liberty,Missouri,MO,64068,"Kansas City, MO",616,"Kansas City, MO-KS Metro Area",28140,39.24182129,-94.45591736,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,263900,202
8cd308913d989bdbc2d518ea,Academy Sports + Outdoors,186,275 New Byhalia Rd,Collierville,Tennessee,TN,38017,"Memphis, TN",640,"Memphis, TN-MS-AR Metro Area",32820,35.048404693603516,-89.69100952,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,263460,203
d0fb0982691ab4063d231088,Academy Sports + Outdoors,93,11400 West Markham Street,Little Rock,Arkansas,AR,72211,"Little Rock-Pine Bluff, AR",693,"Little Rock-North Little Rock-Conway, AR Metro Area",30780,34.75539779663086,-92.40236664,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,261903,204
6049159e06109101d9e56192,Academy Sports + Outdoors,281,401 E Poyntz Ave,Manhattan,Kansas,KS,66502,"Topeka, KS",605,"Manhattan, KS Metro Area",31740,39.184391021728516,-96.5534668,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,261389,205
c1c36a00b3f2a858e5d086b7,Academy Sports + Outdoors,260,1580 Crater Lake Dr,Kennesaw,Georgia,GA,30152,"Atlanta, GA",524,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",12060,33.99746322631836,-84.59252167,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,261247,206
802ea958f2f830233b6b24cb,Academy Sports + Outdoors,228,621 Centerview Blvd,Kissimmee,Florida,FL,34741,"Orlando-Daytona Beach-Melbourne, FL",534,"Orlando-Kissimmee-Sanford, FL Metro Area",36740,28.341846466064453,-81.40812683,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,260537,207
952d8dfd29de4b61850c2c12,Academy Sports + Outdoors,84,7850 S 107th E Ave,Tulsa,Oklahoma,OK,74133,"Tulsa, OK",671,"Tulsa, OK Metro Area",46140,36.049354553222656,-95.85614777,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,258127,208
a6eb0306bce39bc232657789,Academy Sports + Outdoors,226,749 State Hwy 71,Bastrop,Texas,TX,78602,"Austin, TX",635,"Austin-Round Rock-Georgetown, TX Metro Area",12420,30.114727020263672,-97.35421753,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,257531,209
